type,length,azimuth,dip_azimuth,dip,kine,aperture,source
Fracture,37,114,,,,,dem
Fracture,29,94,,,,,dem
Fracture,99,109,,,,,dem
Fracture,30,66,,,,,dem
Fracture,24,122,,,,,dem
Fracture,12,142,,,,,dem
Fracture,162,80,,,,,dem
Fracture,47,80,,,,,dem
Fracture,42,79,,,,,dem
Fracture,47,105,,,,,dem
Fracture,12,103,,,,,dem
Fracture,12,90,,,,,dem
Fracture,80,95,,,,,dem
Fracture,145,168,,,,,dem
Fracture,17,85,,,,,dem
Fracture,30,84,,,,,dem
Fracture,13,152,,,,,dem
Fracture,14,159,,,,,dem
